Serbian,Russian,Definition
sam,один,"Быть, существовать, находиться в каком-либо состоянии или положении."
ako,если,
kao,как,как
zašto,почему,Почему.
kad,когда,
ima,есть,иметь что-либо в своем распоряжении или обладать чем-либо.
ili,или,
više,более,Много — это большое количество чего-либо.
vam,тебе,
gde,где,
treba,нуждаться,"нуждаться в чем-либо, быть необходимым."
malo,немного,Небольшое количество или размер.
nema,нет,Не иметь чего-либо.
nas,нас,
mene,мне,
jer,потому что,
uvek,всегда,"Всегда, в любое время."
ono,что,
joj,ее,
neko,кто-то,
vreme,время,"Период, в течение которого происходят события или существует что-либо."
kod,в,"Место или способ, используемый для хранения информации или данных."
posao,работа,"Работа или занятие, связанное с выполнением определённых задач или обязанностей."
bolje,лучше,"Хорошо, благополучие, положительное качество или состояние."
dan,день,"День, период времени, равный 24 часам, начинающийся с полуночи."
mora,море,"Должен, обязан что-то сделать."
izgleda,выглядит,"выглядеть, казаться, иметь определённый вид или облик."
bože,боже мой,"Бог — высшее существо, объект веры в монотеистических религиях."
mama,мама,"Мать, женщина, родившая или воспитывающая ребенка."
život,жизнь,"Состояние существования живых существ, характеризующееся ростом, развитием и способностью к воспроизводству."
stvar,вещь,"Объект или предмет, имеющий физическую или абстрактную сущность."
danas,сегодня,Сегодня.
nikada,никогда,никогда.
zna,знает,"Знать — это осознавать, иметь информацию или понимание о чем-либо."
tri,три,"Три — это число, следующее за двумя и предшествующее четырем."
ime,имя,"Название, данное человеку, животному или предмету для его идентификации."
veoma,очень,"Очень, в высокой степени."
niko,никто,
upravo,точно,"Точно, именно сейчас."
ove,эти,
sutra,завтра,Утро следующего дня.
izvini,извини,Извиниться — это выразить сожаление или попросить прощения за что-либо.
dalje,дальше,Далеко — на значительном расстоянии от чего-либо.
dosta,достаточно,"достаточно, в достаточной мере."
prema,в соответствии с,В направлении чего-либо или кого-либо.
odavde,отсюда,Отсюда.
ovamo,здесь,"Сюда, в это место."
drago,радостный,"Дорогой, любимый, вызывающий положительные эмоции."
ponovo,снова,"Снова, вновь, повторно."
posle,после,"после - указывает на время или последовательность событий, происходящих после чего-либо."
vrata,дверь,"Дверь, которая служит входом или выходом в помещение."
nekoliko,несколько,"Несколько — это неопределённое количество, больше одного, но меньше многих."
naš,наш,"Наше, принадлежащее нам."
večeras,сегодня вечером,Сегодня вечером.
mog,мой,
ovako,так,Таким образом; так.
pravo,верно,"Право — это система норм и правил, регулирующих общественные отношения и обеспечивающих справедливость."
protiv,против,"Против — предлог, обозначающий противопоставление или противодействие."
super,большой,"Отличный, превосходный, замечательный."
čuo,слышал,Слышать или воспринимать звуки.
unutra,внутри,"Внутри, в пределах чего-либо."
dešava,случается,"Происходить, случаться, происходить в определённый момент или в определённом месте."
sviđa,нравиться,"нравиться, быть приятным или привлекательным для кого-либо."
dve,два,"Два — это числительное, обозначающее количество, равное двум."
preko,над,"через, с одной стороны на другую, в пространственном или переносном смысле."
dakle,поэтому,"Итак, следовательно, таким образом."
jel,да,
budi,проснуться,"Будить — это действие, при котором человек или животное пробуждается от сна."
misli,мысли,"Мысль — это процесс осознания, анализа и интерпретации информации в сознании."
dolazi,идет,Приходить или приезжать в какое-либо место.
priča,история,"История или рассказ, который передает события, идеи или эмоции."
vrati,возвращаться,Вернуть что-то на место или в прежнее состояние.
dao,отдал,давать что-либо кому-либо.
tip,тип,"Совет или рекомендация, часто касающаяся поведения или действий."
dobio,полученный,"Получить что-либо, стать обладателем."
iza,позади,"Сзади, позади чего-либо."
skoro,почти,"Почти, вскоре, в ближайшее время."
voli,любит,"Любить, испытывать сильные положительные чувства к кому-либо или чему-либо."
takođe,также,Также.
uskoro,скоро,"Скоро, в ближайшем будущем."
stalno,постоянно,"Постоянно, без перерыва, на протяжении всего времени."
bog,бог,"Бог — высшее существо, объект веры в монотеистических религиях."
tek,только,
halo,привет,Зал для спортивных или культурных мероприятий.
али,но,
glavu,голова,"Часть тела, содержащая мозг, глаза, уши, нос и рот."
zvuči,звуки,Издавать звук или производить звуковое впечатление.
pored,рядом с,"рядом, около, вблизи."
rade,они работают,"Заниматься какой-либо деятельностью, выполнять работу или трудиться."
tvog,твой,
jasno,четко,"Ясно означает ""понятно"" или ""ясно выражено""."
slučaj,случай,"Ситуация или обстоятельство, в котором что-то происходит или происходит случайно."
kola,машина,"Коло — это традиционный сербский народный танец, исполняемый в кругу."
događa,происходит,"Происходить, случаться, происходить в определённый момент времени."
pazi,осторожно,"Беречь, заботиться, следить за чем-либо или кем-либо."
polako,медленно,"Медленно, без спешки."
blizu,закрывать,"Недалеко, в непосредственной близости."
odakle,откуда,Откуда.
није,это не,
uradi,делать,Выполнить или осуществить какое-либо действие.
ceo,весь,
vodi,ведет,"Вести, управлять или направлять кого-либо или что-либо."
momak,парень,Молодой человек или парень.
važi,действительный,иметь значение или важность.
ово,этот,"Это местоимение, указывающее на предмет или явление, находящееся близко к говорящему."
ispod,ниже,"Под чем-то, ниже уровня или поверхности."
mesta,места,"Место — это определённая точка или область, занимаемая чем-либо или кем-либо."
divno,замечательный,"Прекрасно, замечательно, удивительно."
sedi,садиться,"Сидеть — находиться в положении, при котором тело поддерживается на ягодицах, а ноги обычно находятся на полу."
